"2025–26 ISIR Record Layout 
33,2b,374,423,50,None,Email Address,"1. One and only one at-sign '@' allowed.
2. Before the at-sign:
-at least one valid character
-all characters in the range of ASCII 33 – 126, except for the following thirteen characters: < > ( ) [ ] \ , ; : "" @ ^
-period cannot be first, last or adjacent to another period.
3. After the at-sign:
-at least one valid character
-only letters, digits, hyphen, underscore and period (A to Z, A to Z, 0 to 9, -, _, .)
-Hyphen, underscore and period cannot be first, last, or adjacent to a period
Blank",
34,2c,424,463,40,None,Street Address,"If non-blank, first character must be non-blank.
Alphanumeric 0 to 9 
Uppercase and lowercase A to Z
. (period)
- (dash)
' (apostrophe)
# (number)
@ (at)
& (ampersand)
/ (slash)
, (comma)
 (spaces)
Blank",
35,2d,464,493,30,None,City,"If non-blank, first character must be non-blank.
Alphanumeric 0 to 9 
Uppercase and lowercase A to Z
. (period)
- (dash)
' (apostrophe)
/ (slash)
, (comma)
 (spaces)
Blank",
36,2e,494,495,2,None,State,"Valid two letter code (See State Codes in FAFSA Specifications Guide, Volume 4B.)
Blank",
37,2f,496,505,10,None,Zip Code,"Alphanumeric 0 to 9 
Uppercase and lowercase A to Z
- (dash)
 (space)
Blank",
38,2g,506,507,2,None,Country,"Valid two letter code (See Country Codes in FAFSA Specifications Guide, Volume 4B.)
Blank",
39,N/A,508,557,50,None,Filler: Student Demographic,For Federal Student Aid use only,
"Student Non-Financial Information (Dependency, Marital Status, etc.)",,,,,,,,
40,"Student Marital Status
3",558,558,1,None,Marital Status,"1 = Single (Never married)
2 = Married (not separated)
3 = Remarried
4 = Divorced
5 = Separated
6 = Widowed
Blank",
41,"Student College or Career School Plans
4a",559,559,1,Revised the cycle year in the field name,Grade Level in College 2025–26,"1 = First Year (Freshman)
2 = Second Year (Sophomore)
3 = Other Undergraduate (Junior or Senior)
4 = College Graduate, Professional or Beyond (MBA, M.D., Ph.D., etc.)
Blank",
42,4b,560,560,1,Revised the cycle year in the field name,First Bachelor's Degree Before 2025–26 School Year,"1 = Yes
2 = No
Blank",
43,4c,561,561,1,None,Pursuing Teacher Certification?,"1 = Yes
2 = No
Blank",
44,"Student Personal Circumstances
5a",562,562,1,None,Active Duty?,"1 = Yes
Blank",
45,5b,563,563,1,None,Veteran?,"1 = Yes
Blank",
46,5c,564,564,1,None,Child or Other Dependents?,"1 = Yes
Blank",
47,5d,565,565,1,None,Parents Deceased?,"1 = Yes
Blank",
48,5e,566,566,1,None,Ward of Court?,"1 = Yes
Blank",
49,5f,567,567,1,None,In Foster Care?,"1 = Yes
Blank",
50,5g,568,568,1,None,Emancipated Minor?,"1 = Yes
Blank",
51,5h,569,569,1,None,Legal Guardianship?,"1 = Yes
Blank",
52,5i,570,570,1,None,Personal Circumstances: None of the above,"1 = Yes
Blank",
53,"Student Homelessness
6a",571,571,1,Revised FAFSA category name ,"Unaccompanied Homeless Youth, or is Unaccompanied, At Risk of Homelessness, and Self-Supporting?","1 = Yes
2 = No
Blank",
54,6b,572,572,1,None,Unaccompanied and Homeless (General)?,"1 = Yes
Blank",
55,6c,573,573,1,None,Unaccompanied and Homeless (HS)?,"1 = Yes
Blank",
56,6d,574,574,1,None,Unaccompanied and Homeless (TRIO)?,"1 = Yes
Blank",
57,6e,575,575,1,None,Unaccompanied and Homeless (FAA)?,"1 = Yes
Blank",
58,6f,576,576,1,Revised the field name,Student Homelessness: None of the Above,"1 = Yes
Blank",
59,"Student Unusual Circumstances
7",577,577,1,None,Unusual Circumstance?,"1 = Yes
2 = No
Blank",
60,"Apply for a Direct Unsubsidized Loan Only
8",578,578,1,None,Unsub Only,"1 = Yes
2 = No
Blank",
61,"Family Size 
9",579,580,2,None,Updated Family Size,"0 to 99
Blank",
62,"Number in College
10",581,582,2,None,Number in College,"0 to 99
Blank",
Student Demographic Information ,,,,,,,,
63,"Student Citizenship Status
13a",583,583,1,None,Citizenship Status,"1 = U.S. Citizen
2 = Eligible Non-citizen
3 = Neither Citizen nor Eligible Non-citizen
Blank",
64,13b,584,592,9,None,A-Number,"000000001 to 999999999
Blank",
65,"Student State of Legal Residence 
14a",593,594,2,None,State of Legal Residence,"Valid two letter code (See State Codes in FAFSA Specifications Guide, Volume 4B.)
Blank",
66,14b,595,600,6,None,Legal Residence Date,"Numeric within valid date range; 190001 to current date
Format is CCYYMM 
Blank",
67,"Parent Education Status
15",601,601,1,None,Either Parent Attend College ,"1 = Neither parent attended college
2 = One or both parents attended college, but neither parent completed college
3 = One or both parents completed college
4 = Don’t know
Blank",
68,"Parent Killed in Line of Duty 
16",602,602,1,None,Parent Killed in the Line of Duty ,"1 = Yes
2 = No
Blank",
69,"Student High School Information
17a",603,603,1,None,High School Completion Status,"1 = High school diploma
2 = State recognized high school equivalent (e.g. GED)
3 = Homeschooled
4 = None of the Above
Blank",
70,17b,604,663,60,None,High School Name,"Alphanumeric; 0 to 9, uppercase and lowercase A to Z
 . (period)
- (dash)
' (apostrophe)
# (number)
@ (at)
% (percent or care of)
& (ampersand)
/ (slash)
, (comma)
: (colon)
“” (quotation marks; must be used in pairs)
( ) (parenthesis)
+ (plus)
! (exclamation point)
Blank",
71,17c,664,691,28,None,High School City,"If non-blank, first character must be non-blank.
Alphanumeric: 0 to 9 and uppercase and lowercase A to Z
. (period)
- (dash)
' (apostrophe)
% (percent or care of)
& (ampersand)
/ (slash)
, (comma)
Blank",
72,17d,692,693,2,None,High School State,"Valid two letter code (See State Codes in FAFSA Specifications Guide, Volume 4B.)
Blank",
73,17e,694,694,1,None,High School Equivalent Diploma Name,"1 = General Education Development (GED)
2 = High School Equivalency Test (HiSET)
3 = Test Assessing Secondary Completion (TASC)
4 = Other
Blank",
74,17f,695,696,2,None,High School Equivalent Diploma State,"Valid two letter code (See State Codes in FAFSA Specifications Guide, Volume 4B.)
Blank",
Student Manually Entered Financial,,,,,,,,
75,"Federal Benefits Received
18a",697,697,1,None,Received EITC,"1 = Yes
Blank",
76,18b,698,698,1,None,Received Federal Housing Assistance,"1 = Yes
Blank",
77,18c,699,699,1,None,Received Free/Reduced Price Lunch,"1 = Yes
Blank",
78,18d,700,700,1,None,Received Medicaid,"1 = Yes
Blank",
79,18e,701,701,1,None,Received Refundable Credit for 36B Health Plan,"1 = Yes
Blank",
80,18f,702,702,1,None,Received SNAP,"1 = Yes
Blank",
81,18g,703,703,1,None,Received Supplemental Security Income,"1 = Yes
Blank",
82,18h,704,704,1,None,Received TANF,"1 = Yes
Blank",
83,18i,705,705,1,None,Received WIC,"1 = Yes
Blank",
84,18j,706,706,1,None,Federal Benefits: None of the Above,"1 = Yes
Blank",
85,"Student Tax Filing Status
19a",707,707,1,None,Filed 1040 or 1040NR,"1 = Yes
2 = No
Blank",
86,19b,708,708,1,None,Filed Non-U.S. Tax Return,"1 = Yes
2 = No
Blank",
87,19c,709,709,1,None,Filed Joint Return With Current Spouse,"1 = Yes
2 = No
Blank",
88,"Student 20xx Tax Return Information
20a",710,710,1,None,Tax Return Filing Status,"1 = Single
2 = Married-Filed Joint Return
3 = Married-Filed Separate Return
4 = Head of Household
5 = Qualifying surviving spouse
Blank",
89,20b,711,721,11,None,Income Earned from Work,"0 to 99999999999
Blank",
90,20c,722,732,11,None,Tax Exempt Interest Income,"0 to 99999999999
Blank",
91,20d,733,743,11,None,Untaxed Portions of IRA Distributions,"0 to 99999999999
Blank",
92,20e,744,754,11,None,IRA Rollover,"0 to 99999999999
Blank",
93,20f,755,765,11,None,Untaxed Portions of Pensions,"0 to 99999999999
Blank",
94,20g,766,776,11,None,Pension Rollover,"0 to 99999999999
Blank",
95,20h,777,786,10,None,Adjusted Gross Income,"-999999999 to 999999999
Blank",
96,20i,787,795,9,None,Income Tax Paid,"0 to 999999999
Blank",
97,20j,796,796,1,None,Earned Income Tax Credit Received During Tax Year?,"1 = Yes
2 = No
3 = Don't Know
Blank",
98,20k,797,807,11,None,"Deductible Payments to IRA, Keogh, Other","0 to 99999999999
Blank",
99,20l,808,816,9,None,Education Credits,"0 to 999999999
Blank",
100,20m,817,817,1,None,"Filed Schedule A, B, D, E, F or H?","1 = Yes
2 = No
3 = Don't Know
Blank",
101,20n,818,829,12,None,Schedule C Amount,"-99999999999 to 99999999999
Blank",
102,20o,830,836,7,None,College Grant and Scholarship Aid ,"0 to 9999999
Blank",
103,20p,837,846,10,None,Foreign Earned Income Exclusion,"-999999999 to 999999999
Blank",
104,"Annual Child Support Received 
21",847,853,7,None,Child Support Received,"0 to 9999999
Blank",
105,"Student Assets
22a",854,860,7,None,"Total of Cash, Savings, and Checking Accounts ","0 to 9999999
Blank",
106,22b,861,867,7,None,Net Worth of Current Investments,"0 to 9999999
Blank",
107,22c,868,874,7,None,Net Worth of Businesses and Investment Farms,"0 to 9999999
Blank",
"Student School Choices, Consent, Approval, and Signature",,,,,,,,
108,"Colleges
23a",875,880,6,None,"College #1
Must be a number of a school certified for participation in EDE","X00000 to X99999
Blank
Valid characters for the first position are 0 (zero), B, E, or G.",
109,23b,881,886,6,None,"College #2
Must be a number of a school certified for participation in EDE","X00000 to X99999
Blank
Valid characters for the first position are 0 (zero), B, E, or G.",
110,23c,887,892,6,None,"College #3
Must be a number of a school certified for participation in EDE","X00000 to X99999
Blank
Valid characters for the first position are 0 (zero), B, E, or G.",
111,23d,893,898,6,None,"College #4
Must be a number of a school certified for participation in EDE","X00000 to X99999
Blank
Valid characters for the first position are 0 (zero), B, E, or G.",
112,23e,899,904,6,None,"College #5
Must be a number of a school certified for participation in EDE","X00000 to X99999
Blank
Valid characters for the first position are 0 (zero), B, E, or G.",
113,23f,905,910,6,None,"College #6
Must be a number of a school certified for participation in EDE","X00000 to X99999
Blank
Valid characters for the first position are 0 (zero), B, E, or G.",
114,23g,911,916,6,None,"College #7
Must be a number of a school certified for participation in EDE","X00000 to X99999
Blank
Valid characters for the first position are 0 (zero), B, E, or G.",
115,23h,917,922,6,None,"College #8
Must be a number of a school certified for participation in EDE","X00000 to X99999
Blank
Valid characters for the first position are 0 (zero), B, E, or G.",
116,23i,923,928,6,None,"College #9
Must be a number of a school certified for participation in EDE","X00000 to X99999
Blank
Valid characters for the first position are 0 (zero), B, E, or G.",
117,23j,929,934,6,None,"College #10
Must be a number of a school certified for participation in EDE","X00000 to X99999
Blank
Valid characters for the first position are 0 (zero), B, E, or G.",
118,23k,935,940,6,None,"College #11
Must be a number of a school certified for participation in EDE","X00000 to X99999
Blank
Valid characters for the first position are 0 (zero), B, E, or G.",
119,23l,941,946,6,None,"College #12
Must be a number of a school certified for participation in EDE","X00000 to X99999
Blank
Valid characters for the first position are 0 (zero), B, E, or G.",
120,23m,947,952,6,None,"College #13
Must be a number of a school certified for participation in EDE","X00000 to X99999
Blank
Valid characters for the first position are 0 (zero), B, E, or G.",
121,23n,953,958,6,None,"College #14
Must be a number of a school certified for participation in EDE","X00000 to X99999
Blank
Valid characters for the first position are 0 (zero), B, E, or G.",
122,23o,959,964,6,None,"College #15
Must be a number of a school certified for participation in EDE","X00000 to X99999
Blank
Valid characters for the first position are 0 (zero), B, E, or G.",
123,23p,965,970,6,None,"College #16
Must be a number of a school certified for participation in EDE","X00000 to X99999
Blank
Valid characters for the first position are 0 (zero), B, E, or G.",
124,23q,971,976,6,None,"College #17
Must be a number of a school certified for participation in EDE","X00000 to X99999
Blank
Valid characters for the first position are 0 (zero), B, E, or G.",
125,23r,977,982,6,None,"College #18
Must be a number of a school certified for participation in EDE","X00000 to X99999
Blank
Valid characters for the first position are 0 (zero), B, E, or G.",
126,23s,983,988,6,None,"College #19
Must be a number of a school certified for participation in EDE","X00000 to X99999
Blank
Valid characters for the first position are 0 (zero), B, E, or G.",
127,23t,989,994,6,None,"College #20
Must be a number of a school certified for participation in EDE","X00000 to X99999
Blank
Valid characters for the first position are 0 (zero), B, E, or G.",
128,"Student Consent, Approval, and Signature
24a",995,995,1,None,Consent to Retrieve and Disclose FTI ,"1 = Granted
2 = Not Granted
Blank",
129,24b,996,996,1,None,Signature,"1 = Yes
Blank",
130,24c,997,1004,8,Revised valid content,Signature Date,"Format is CCYYMMDD
20241001 to 20260930
Blank",
131,N/A,1005,1054,50,None,Filler: Student Financial and School,For Federal Student Aid use only,
"Student Spouse Demographic, Identity, and Contact Information",,,,,,,,
132,"Student Spouse Identity Information
25a",1055,1089,35,None,First Name,"First character must contain a letter and second character must be non-numeric
Alphanumeric: 0 to 9 and uppercase and lowercase A to Z
. (period)
- (dash)
' (apostrophe)
 (space)
Blank",
133,25b,1090,1104,15,None,Middle Name,"First character must contain a letter
Alphanumeric: 0 to 9 and uppercase and lowercase A to Z
. (period)
- (dash)
' (apostrophe)
 (space)
Blank",
134,25c,1105,1139,35,None,Last Name,"First character must contain a letter and second character must be non-numeric
Alphanumeric: 0 to 9 and uppercase and lowercase A to Z
. (period)
- (dash)
' (apostrophe)
 (space)
Blank",
135,25d,1140,1149,10,None,Suffix,"Alphanumeric: 0 to 9 and uppercase and lowercase A to Z
. (period)
- (dash)
' (apostrophe)
 (space)
Blank",
136,25e,1150,1157,8,Revised valid content,Date of Birth,"19000101 to current date
Numeric within valid range. 
Format is CCYYMMDD where MM is 01 to 12, (CC is 19 and YY is 00 to 99) or (CC is 20 and YY is 00 to 25). Valid day range depending on month (see table below).

Month Valid Day Range
 01	01-31
 02	01 to 28 (unless year is divisible by 4 for non-centurial years or 400 for centurial years, then 01 to 29 is valid)
 03	01-31
 04	01-30
 05	01-31
 06	01-30
 07	01-31
 08	01-31
 09	01-30
 10	01-31
 11	01-30
 12	01-31
Blank",
137,25f,1158,1166,9,None,Social Security Number,"000000000 to 999999999
Blank",
138,25g,1167,1175,9,None,ITIN ,"900000000 to 999999999
Blank",
139,"Student Spouse Contact Information
26a",1176,1185,10,None,Phone Number,"0000000000 to 9999999999
Blank",
140,26b,1186,1235,50,None,Email Address,"1. One and only one at-sign '@' allowed.
2. Before the at-sign:
-at least one valid character
-all characters in the range of ASCII 33 – 126, except for the following thirteen characters: < > ( ) [ ] \ , ; : "" @ ^
-period cannot be first, last or adjacent to another period.
3. After the at-sign:
-at least one valid character
-only letters, digits, hyphen, underscore and period (A to Z, A to Z, 0 to 9, -, _, .)
-Hyphen, underscore and period cannot be first, last, or adjacent to a period
Blank",
141,26c,1236,1275,40,None,Street Address,"If non-blank, first character must be non-blank.
Alphanumeric: 0 to 9 and uppercase and lowercase A to Z
. (period)
- (dash)
' (apostrophe)
# (number)
@ (at)
& (ampersand)
/ (slash)
, (comma)
 (spaces)
Blank",
142,26d,1276,1305,30,None,City,"If non-blank, first character must be non-blank.
Alphanumeric: 0 to 9 and uppercase and lowercase A to Z
. (period)
- (dash)
' (apostrophe)
/ (slash)
, (comma)
 (spaces)
Blank",
143,26e,1306,1307,2,None,State,"Valid two letter code (See State Codes in FAFSA Specifications Guide, Volume 4B.)
Blank",
144,26f,1308,1317,10,None,Zip Code,"Alphanumeric: 0 to 9 and uppercase and lowercase A to Z
- (dash)
 (space)
Blank",
145,26g,1318,1319,2,None,Country,"Valid two letter code (See Country Codes in FAFSA Specifications Guide, Volume 4B.)
Blank",
"Student Spouse Manually Entered Financial Information, Consent, Approval, and Signature ",,,,,,,,
146,"Student Spouse Tax Filing Status
27a",1320,1320,1,None,Filed 1040 or 1040NR,"1 = Yes
2 = No
Blank",
147,27b,1321,1321,1,None,Filed non-U.S. tax return,"1 = Yes
2 = No
Blank",
148,"Student Spouse 20xx Tax Return Information
28a",1322,1322,1,None,Tax Return Filing Status,"1 = Single
2 = Married-Filed Joint Return
3 = Married-Filed Separate Return
4 = Head of Household
5 = Qualifying surviving spouse
Blank",
149,28b,1323,1333,11,None,Income Earned from Work,"0 to 99999999999
Blank",
150,28c,1334,1344,11,None,Tax Exempt Interest Income,"0 to 99999999999
Blank",
151,28d,1345,1355,11,None,Untaxed Portions of IRA Distributions,"0 to 99999999999
Blank",
152,28e,1356,1366,11,None,IRA Rollover,"0 to 99999999999
Blank",
153,28f,1367,1377,11,None,Untaxed Portions of Pensions,"0 to 99999999999
Blank",
154,28g,1378,1388,11,None,Pension Rollover,"0 to 99999999999
Blank",
155,28h,1389,1398,10,None,Adjusted Gross Income,"-999999999 to 999999999
Blank",
156,28i,1399,1407,9,None,Income Tax Paid,"0 to 999999999
Blank",
157,28j,1408,1418,11,None,"Deductible Payments to IRA, Keogh, Other","0 to 99999999999
Blank",
158,28k,1419,1427,9,None,Education Credits,"0 to 999999999
Blank",
159,28l,1428,1428,1,None,"Filed Schedule A, B, D, E, F or H?","1 = Yes
2 = No
3 = Don't Know
Blank",
160,28m,1429,1440,12,None,Schedule C Amount,"-99999999999 to 99999999999
Blank",
161,28n,1441,1450,10,None,Foreign Earned Income Exclusion,"-999999999 to 999999999
Blank",
162,"Student Spouse Consent, Approval, and Signature
29a",1451,1451,1,None,Consent to Retrieve and Disclose FTI ,"1 = Granted
2 = Not Granted
Blank",
163,29b,1452,1452,1,None,Signature,"1 = Yes
Blank",
164,29c,1453,1460,8,Revised valid content,Signature Date,"Format is CCYYMMDD
20241001 to 20260930
Blank",
165,N/A ,1461,1510,50,None,Filler: Student Spouse ,For Federal Student Aid use only,
"Parent Demographic, Identity, and Contact Information",,,,,,,,
166,"Parent Identity Information
30a",1511,1545,35,None,First Name,"First character must contain a letter and second character must be non-numeric
Alphanumeric: 0 to 9 and uppercase and lowercase A to Z
. (period)
- (dash)
' (apostrophe)
 (space)
Blank",
167,30b,1546,1560,15,None,Middle Name,"First character must contain a letter
Alphanumeric: 0 to 9 and uppercase and lowercase A to Z
. (period)
- (dash)
' (apostrophe)
 (space)
Blank",
168,30c,1561,1595,35,None,Last Name,"First character must contain a letter and second character must be non-numeric
Alphanumeric: 0 to 9 and uppercase and lowercase A to Z
. (period)
- (dash)
' (apostrophe)
 (space)
Blank",
169,30d,1596,1605,10,None,Suffix,"Alphanumeric: 0 to 9 and uppercase and lowercase A to Z
. (period)
- (dash)
' (apostrophe)
 (space)
Blank",
170,30e,1606,1613,8,Revised valid content,Date of Birth,"19000101 to current date
Numeric within valid range. 
Format is CCYYMMDD where MM is 01 to 12, (CC is 19 and YY is 00 to 99) or (CC is 20 and YY is 00 to 25). Valid day range depending on month (see table below).

Month Valid Day Range
 01	01-31
 02	01 to 28 (unless year is divisible by 4 for non-centurial years or 400 for centurial years, then 01 to 29 is valid)
 03	01-31
 04	01-30
 05	01-31
 06	01-30
 07	01-31
 08	01-31
 09	01-30
 10	01-31
 11	01-30
 12	01-31
Blank",
171,30f,1614,1622,9,None,Social Security Number,"000000000 to 999999999
Blank",
172,30g,1623,1631,9,None,ITIN,"900000000 to 999999999
Blank",
173,"Parent Information
31a",1632,1641,10,None,Phone Number,"0000000000 to 9999999999
Blank",
174,31b,1642,1691,50,None,Email Address,"1. One and only one at-sign '@' allowed.
2. Before the at-sign:
-at least one valid character
-all characters in the range of ASCII 33 – 126, except for the following thirteen characters: < > ( ) [ ] \ , ; : "" @ ^
-period cannot be first, last or adjacent to another period.
3. After the at-sign:
-at least one valid character
-only letters, digits, hyphen, underscore and period (A to Z, A to Z, 0 to 9, -, _, .)
-Hyphen, underscore and period cannot be first, last, or adjacent to a period
Blank",
175,31c,1692,1731,40,None,Street Address,"If non-blank, first character must be non-blank.
Alphanumeric: 0 to 9 and uppercase and lowercase A to Z
. (period)
- (dash)
' (apostrophe)
# (number)
@ (at)
& (ampersand)
/ (slash)
, (comma)
 (spaces)
Blank",
176,31d,1732,1761,30,None,City,"If non-blank, first character must be non-blank.
Alphanumeric: 0 to 9 and uppercase and lowercase A to Z
. (period)
- (dash)
' (apostrophe)
/ (slash)
, (comma)
 (spaces)
Blank",
177,31e,1762,1763,2,None,State,"Valid two letter code (See State Codes in FAFSA Specifications Guide, Volume 4B.)
Blank",
178,31f,1764,1773,10,None,Zip Code,"Alphanumeric: 0 to 9 and uppercase and lowercase A to Z
- (dash)
 (space)
Blank",
179,31g,1774,1775,2,None,Country,"Valid two letter code (See Country Codes in FAFSA Specifications Guide, Volume 4B.)
Blank",
Parent Non-Financial Information,,,,,,,,
180,"Parent Current Marital Status
32",1776,1776,1,None,Marital Status,"1 = Never married
2 = Unmarried, living together
3 = Married (not separated)
4 = Remarried
5 = Divorced
6 = Separated
7 = Widowed
Blank",
181,"Parent State of Legal Residence
33a",1777,1778,2,None,State of Legal Residence,"Valid two letter code (See State Codes in FAFSA Specifications Guide, Volume 4B.)
Blank",
182,33b,1779,1784,6,None,Legal Residence Date,"Numeric within valid date range; 190001 to current date
Format is CCYYMM
Blank",
183,"Family Size
34",1785,1786,2,None,Updated Family Size,"0 to 99
Blank",
184,"Number in College
35",1787,1788,2,None,Number in College,"0 to 99
Blank",
"Parent Manually Entered Financial Information, Consent, Approval, and Signature",,,,,,,,
185,"Federal Benefits Received
36a",1789,1789,1,None,Received EITC,"1 = Yes
Blank",
186,36b,1790,1790,1,None,Received Federal Housing Assistance,"1 = Yes
Blank",
187,36c,1791,1791,1,None,Received Free/Reduced Price Lunch,"1 = Yes
Blank",
188,36d,1792,1792,1,None,Received Medicaid,"1 = Yes
Blank",
189,36e,1793,1793,1,None,Received Refundable Credit for 36B Health Plan,"1 = Yes
Blank",
190,36f,1794,1794,1,None,Received SNAP,"1 = Yes
Blank",
191,36g,1795,1795,1,None,Received Supplemental Security Income,"1 = Yes
Blank",
192,36h,1796,1796,1,None,Received TANF,"1 = Yes
Blank",
193,36i,1797,1797,1,None,Received WIC,"1 = Yes
Blank",
194,36j,1798,1798,1,None,Federal Benefits: None of the Above,"1 = Yes
Blank",
195,37a,1799,1799,1,None,Filed 1040 or 1040NR,"1 = Yes
2 = No
Blank",
196,37b,1800,1800,1,None,Filed non-U.S. tax return,"1 = Filed or will file a tax return with Puerto Rico or another U.S. territory
2 = Filed or will file a foreign tax return
3 = Did not and will not file a foreign tax return – earned income in a foreign country or employee of an international organization that did not require tax filing
4 = Did not and will not file a U.S. tax return – earned U.S. income below the tax filing threshold
5 = Did not and will not file a U.S. tax return – reasons other than low income
6 = Did not and will not file any tax return – no earned income
Blank",
197,37c,1801,1801,1,None,Filed Joint Return With Current Spouse,"1 = Yes
2 = No
Blank",
198,38a,1802,1802,1,None,Tax Return Filing Status,"1 = Single
2 = Married-Filed Joint Return
3 = Married-Filed Separate Return
4 = Head of Household
5 = Qualifying surviving spouse
Blank",
199,38b,1803,1813,11,None,Income Earned from Work,"0 to 99999999999
Blank",
200,38c,1814,1824,11,None,Tax Exempt Interest Income,"0 to 99999999999
Blank",
201,38d,1825,1835,11,None,Untaxed Portions of IRA Distributions,"0 to 99999999999
Blank",
202,38e,1836,1846,11,None,IRA Rollover,"0 to 99999999999
Blank",
